Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    H       R       

1-1     18      1.3013  -9.47   15.68   8.79    681.51  -154.9  82.76   1       820     
1-2     10      1.4082  -8.56   13.38   8.44    643.44  -190.8  77.5    1.3629  1042.5  
1-3     15      1.3592  -9.07   14.23   8.65    658.36  -173    80.63   1.1418  955.62  
1-4     26      1.2775  -8.48   19.16   8.73    679.1   -134.6  75.87   1.4358  651.46  
1-5     2       1.4417  -8.5    12.49   8.34    634.19  -202.9  77.57   1.3881  1159.9  
1-6     11      1.4026  -8.37   13.73   8.39    645.7   -189.4  75.86   1.4679  998.42  
1-7     25      1.2813  -8.35   18.94   8.68    676.64  -134.9  74.76   1.5135  661.16  
1-8     12      1.3719  -9.11   13.67   8.62    654.01  -177.3  81.04   1.1264  1018    
1-9     19      1.3397  -8.03   15.96   8.38    661.49  -162.5  72.13   1.7103  808.95  
1-10    21      1.2353  -10.05  17.19   8.87    717.43  -137.5  85.81   0.83    692.79  
1-11    1       1.4524  -8.4    12.3    8.3     631.93  -207.3  77.02   1.4341  1184.2  
1-12    17      1.3688  -7.81   14.75   8.16    656.1   -177.3  70.37   1.866   889.31  
1-13    14      1.3801  -7.69   14.3    8.04    654.66  -183.6  69.39   1.9582  923.01  
1-14    27      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
1-15    16      1.3795  -7.88   14.47   8.19    653.42  -181.9  71.2    1.8036  914.67  
1-16    3       1.4288  -8.78   12.48   8.45    636.31  -196.7  79.53   1.256   1173.6  
1-17    29      1.2433  -8.32   21.6    8.78    685.11  -113.6  74.6    1.5436  575.45  
1-18    22      1.2347  -10.03  17.3    8.88    717.62  -137.2  85.77   0.8325  687.19  
1-19    5       1.4326  -8.33   12.88   8.3     637.91  -201    76      1.4833  1096.9  
1-20    6       1.3868  -9.34   12.61   8.6     648.37  -181.6  82.78   1.046   1171.1  
1-21    4       1.4213  -8.88   12.53   8.48    638.16  -193.8  80.14   1.2144  1169.3  
1-22    7       1.4212  -8.46   13.1    8.39    640.16  -195.9  76.94   1.4099  1075.4  
1-23    28      1.2365  -9.32   20.52   8.94    705.57  -128.9  82.15   1.045   580.15  
1-24    8       1.4188  -7.75   13.26   7.99    646.34  -200.8  70.61   1.8844  1024.5  
1-25    9       1.3056  -10.22  12.59   8.69    681.55  -158    86.92   0.8042  1187.4  
1-26    23      1.276   -9.13   18.17   8.85    687.91  -142.4  80.72   1.1186  678.38  
1-27    13      1.1581  -11.84  12.88   8.65    802.43  -117.7  91.96   0.5218  1068.2  
1-28    24      1.268   -9.26   18.3    8.87    692.53  -140.8  81.58   1.0677  668.4   
1-29    20      1.3142  -8.38   17.15   8.61    668.8   -151.6  75.13   1.4829  742.18  
1-30    30      1.2134  -8.42   24.45   8.9     693.96  -97.89  75.8    1.4855  508.2   
---------------------------------------------------------------------
Average :       1.332   -8.87   15.67   8.564   671.8   -163    78.59   
Optimum :       1.158   -7.69   24.45   8.96    802.4   -97.9   91.96   
 
2-1     28      1.2134  -8.42   24.45   8.9     693.96  -97.89  75.8    1.4855  508.2   
2-2     29      1.2134  -8.42   24.45   8.9     693.96  -97.89  75.8    1.4855  508.2   
2-3     9       1.3013  -9.47   15.68   8.79    681.51  -154.9  82.76   1       820     
2-4     16      1.2353  -10.05  17.19   8.87    717.43  -137.5  85.81   0.83    692.79  
2-5     13      1.2891  -9.28   16.94   8.82    684.76  -149.1  81.65   1.0619  739.27  
2-6     12      1.2839  -9.44   16.7    8.83    688.35  -148.7  82.61   1.0059  749.12  
2-7     23      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
2-8     2       1.4082  -8.56   13.38   8.44    643.44  -190.8  77.5    1.3629  1042.5  
2-9     6       1.2817  -10.13  14.06   8.76    693.68  -151.8  86.18   0.8204  963.99  
2-10    26      1.2509  -7.88   20.31   8.54    677.48  -110.8  70.2    1.8781  612.51  
2-11    20      1.2813  -8.35   18.94   8.68    676.64  -134.9  74.76   1.5135  661.16  
2-12    3       1.3795  -7.88   14.47   8.19    653.42  -181.9  71.2    1.8036  914.67  
2-13    24      1.2631  -8.47   20.12   8.77    682.64  -127.1  75.81   1.4453  617.57  
