Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       S       L2      

1-1     16      3.2448  8.52    5.58    1.51    212.9   163.86  3158    92.181  13.989  96.474  
1-2     8       11.19   9.05    8.71    1.48    302.41  527.28  3088    99.84   16.312  94.03   
1-3     11      14.959  9.57    4.38    3.15    69.279  315.03  2701    94.241  12.521  88.128  
1-4     17      16.696  9.64    5.09    3.36    37.524  -237.6  2719    80.943  10.956  87.917  
1-5     22      1.8669  9.02    8.84    1.6     190.52  -49.24  3166    87.051  19.522  94.285  
1-6     1       11.202  4.25    -4.8    -4.94   46.717  -210.6  2846    83.177  11.061  85.02   
1-7     9       11.581  9.68    3.72    2.89    131.94  377.43  2969    95.843  19.276  87.773  
1-8     2       23.956  6.42    -2.28   -2.44   66.036  400.73  2757    97.202  11.809  86.74   
1-9     10      5.9107  8.36    5.24    1.3     243.05  306.41  3157    96.107  16.912  97.897  
1-10    7       5.8972  8.24    4.86    1.24    241.13  305.22  3162    96.261  17.634  98.799  
1-11    12      4.921   8.59    5.65    1.77    160.8   -232.1  3207    82.305  14.718  96.427  
1-12    5       4.9704  6.14    -2.83   -3.02   55.142  -127.9  2916    85      13.987  85.757  
1-13    15      10.85   9.37    11.67   1.5     309.74  520.68  3083    99.78   19.29   92.946  
1-14    24      1.6283  10.39   8.76    2.61    126.26  56.789  3059    88.051  19.467  88.963  
1-15    23      3.8184  9.45    11.6    1.85    170.71  -190.6  3199    82.989  19.178  92.924  
1-16    29      1.7442  9.93    17.77   2.1     157.84  59.259  3096    87.759  14.231  91.189  
1-17    14      1.8459  8.06    3.77    1.56    173.61  -61.16  3178    86.936  12.734  99.903  
1-18    3       4.5778  4.97    -4.11   -4.24   57.641  -122.9  2947    85.417  13.132  85.004  
1-19    27      2.934   9.74    15.01   1.98    169.01  -144.5  3157    83.686  18.344  91.968  
1-20    6       4.132   6.21    -2.75   -2.93   58.677  -113    2943    85.404  14.528  85.657  
1-21    4       22.02   6.66    -1.98   -2.26   37.267  -279.6  2726    80.835  11.727  86.399  
1-22    21      1.3205  9.96    4.68    3.05    89.485  -16.52  3013    86.575  18.181  88.006  
1-23    19      3.5106  8.83    7.33    1.71    171.94  -176    3172    83.799  17.489  95.157  
1-24    30      3.0076  10.15   21.01   2.07    182.33  149.73  3090    90.302  18.204  90.764  
1-25    25      2.0509  9.44    11.02   1.85    188.5   74.268  3132    88.82   14.63   92.623  
1-26    20      14.539  10.23   15.03   2.07    256.37  584.1   2980    99.526  19.484  90.108  
1-27    26      12.472  10.1    20.04   1.96    255.22  530.2   3003    98.532  18.18   90.74   
1-28    18      1.6859  8.28    5.07    1.42    183.46  -25.06  3175    88.2    18.513  98.42   
1-29    28      15.285  9.94    23.75   2.14    170.48  501.49  2877    97.002  11.651  90.456  
1-30    13      2.346   8.25    4.38    1.65    171.82  -106.2  3178    85.496  12.08   97.698  
---------------------------------------------------------------------
Average :       7.539   8.581   7.14    0.933   156.3   92.65   3028    
Optimum :       1.321   10.39   23.75   3.36    126.3   -16.5   3158    
 
2-1     12      1.9153  8.82    6.65    1.8     175.71  -67.45  3165    85.625  11.732  94.182  
2-2     8       3.8794  8.75    7.14    1.66    170.46  -193.3  3171    83.556  18.692  95.485  
2-3     21      3.6402  9.63    13.62   1.89    171.2   -182.2  3196    83.104  20      92.353  
2-4     4       2.3737  8.04    3.58    1.64    170.37  -108.5  3180    85.381  10      98.268  
2-5     18      1.7889  9.12    9.12    1.66    197.43  19.873  3159    88.459  17.785  93.97   
2-6     6       5.0713  8.79    7.19    1.69    164.32  -239.6  3201    82.391  19.226  95.472  
2-7     11      12.231  9.71    15.52   1.67    307.56  563.01  3047    100     19.115  91.887  
2-8     14      7.3804  9.42    11.08   1.96    159.47  -310.3  3203    80      18.52   93.028  
2-9     2       11.395  8.32    4.77    1.36    287.04  523.65  3112    100     11.785  96.914  
2-10    26      4.4689  9.93    17.48   2.09    156.35  -212.6  3190    81.813  18.474  91.524  
2-11    9       1.6859  8.28    5.07    1.42    183.46  -25.06  3175    88.2    18.513  98.42   
2-12    10      1.6859  8.28    5.07    1.42    183.46  -25.06  3175    88.2    18.513  98.42   
2-13    25      1.6372  9.71    13.98   1.97    175.04  29.784  3127    87.493  15.235  91.909  
2-14    23      3.3099  9.66    13.87   1.97    168.65  -165    3161    83.255  18.173  92.204  
2-15    29      2.4176  10.04   21.1    2.16    150.22  111.91  3063    88.829  13.721  90.839  
2-16    24      14.658  10.18   20.88   2.11    221.78  551.43  2946    98.476  16.134  90.381  
2-17    30      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
2-18    27      2.125   9.85    17.12   1.87    197.3   76.71   3130    89.166  19.588  91.612  
2-19    22      12.472  10.1    20.04   1.96    255.22  530.2   3003    98.532  18.18   90.74   
