Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    R       theta   

1-1     18      12.687  0       0       0       65.453  -187.1  99.18   0.5185  50      
1-2     15      74.292  0       0       0       52.015  -433.6  98.78   0.4748  47.483  
1-3     5       402.4   0       0       0       42.757  -925.2  96.98   0.4162  40.523  
1-4     16      66.885  0       0       0       44.89   -381.6  98.69   0.4862  43.69   
1-5     25      3.5543  0       0       0       51.297  68.604  98.7    0.5916  34.444  
1-6     17      20.556  0       0       0       46.368  -207.7  98.85   0.5227  41.485  
1-7     10      160.29  0       0       0       51.157  -636.3  98.37   0.4451  47.19   
1-8     20      8.6722  0       0       0       66.809  -149.6  99.19   0.5265  49.488  
1-9     27      2.4274  0       0       0       59.78   49.126  98.93   0.5806  38.835  
1-10    8       308.36  0       0       0       21.89   -578.4  96.7    0.4579  30.869  
1-11    30      1.3207  0       0       0       57.448  -12.97  98.97   0.5656  40.411  
1-12    26      2.5518  0       0       0       70.06   -53.88  99.2    0.5483  47.411  
1-13    4       785.53  0       0       0       24.893  -987.2  94.42   0.4091  30.47   
1-14    3       352.57  0       0       0       66.139  -1077   97.5    0.4038  48.573  
1-15    13      96.443  0       0       0       31.979  -388.2  98.2    0.4897  36.644  
1-16    28      1.5515  0       0       0       69.243  -17.56  99.16   0.5579  45.554  
1-17    19      10.884  0       0       0       50.83   -151    98.95   0.534   42.21   
1-18    9       220.37  0       0       0       21.424  -482.8  97.05   0.4748  30.35   
1-19    7       267.21  0       0       0       32.946  -660.8  97.46   0.4447  37.654  
1-20    2       537.03  0       0       0       45.316  -1101   96.31   0.4023  39.824  
1-21    29      1.6375  0       0       0       53.58   25.537  98.84   0.5783  37.23   
1-22    14      85.426  0       0       0       46.024  -438.2  98.64   0.4754  44.764  
1-23    11      114.94  0       0       0       38.221  -464.5  98.32   0.4737  40.523  
1-24    12      105.91  0       0       0       44.524  -481    98.51   0.4691  43.944  
1-25    6       333.26  0       0       0       36.447  -776.8  97.24   0.4301  39.015  
1-26    1       467.21  0       0       0       53.753  -1118   96.79   0.4013  43.192  
