Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       R       

1-1     30      1.2801  0       0       0       39.062  0.2929  99.15   1.0419  0.4     
1-2     19      2.0828  0       0       0       42.048  33.47   99.16   1.0753  0.3161  
1-3     20      1.9319  0       0       0       37.72   -26.4   99.17   1.015   0.4413  
1-4     5       7.118   0       0       0       53.661  118.72  99.22   1.1499  0.3921  
1-5     17      2.7811  0       0       0       48.008  52.289  99.24   1.0866  0.4638  
1-6     4       7.0828  0       0       0       56.284  121.09  99.26   1.149   0.4436  
1-7     21      1.8882  0       0       0       35.843  -23.42  99.12   1.0207  0.3673  
1-8     23      1.6087  0       0       0       36.436  -15.35  99.12   1.0291  0.338   
1-9     7       6.7033  0       0       0       33.507  -88.64  99.17   0.9546  0.4843  
1-10    25      1.5642  0       0       0       40.805  18.184  99.16   1.0589  0.3923  
1-11    15      2.8989  0       0       0       44.887  52.588  99.18   1.0908  0.3918  
1-12    16      2.7666  0       0       0       43.923  49.401  99.17   1.0899  0.326   
1-13    12      4.9653  0       0       0       55.296  93.419  99.29   1.1218  0.4899  
1-14    8       6.1441  0       0       0       55.851  109.51  99.27   1.1376  0.4641  
1-15    10      5.5126  0       0       0       32.498  -75.47  99.12   0.9691  0.4296  
1-16    22      1.6218  0       0       0       37.016  -16.51  99.13   1.0264  0.3906  
1-17    18      2.5421  0       0       0       43.932  44.922  99.18   1.0838  0.3909  
1-18    14      3.3065  0       0       0       48.626  62.529  99.23   1.0967  0.4512  
1-19    24      1.5951  0       0       0       41.597  19.779  99.17   1.0596  0.4113  
1-20    11      5.5133  0       0       0       30.921  -73.13  99.07   0.974   0.3069  
1-21    26      1.5487  0       0       0       40.125  17.103  99.15   1.059   0.3633  
1-22    1       20.19   0       0       0       24.757  -148.1  98.99   0.9015  0.3365  
1-23    28      1.373   0       0       0       39.636  9.6638  99.15   1.0513  0.3832  
1-24    9       5.8912  0       0       0       57.441  107.74  99.3    1.1343  0.4905  
1-25    13      4.2065  0       0       0       47.156  75.862  99.18   1.1136  0.3485  
1-26    6       6.8258  0       0       0       53.164  114.92  99.22   1.1465  0.3936  
1-27    29      1.2733  0       0       0       39.505  2.3972  99.16   1.0436  0.407   
1-28    2       16.756  0       0       0       29.134  -145.4  99.15   0.9006  0.498   
1-29    27      1.4049  0       0       0       37.331  -7.568  99.12   1.0361  0.3537  
1-30    3       10.564  0       0       0       31.242  -114.8  99.16   0.9299  0.4866  
---------------------------------------------------------------------
Average :       4.698   0       0       0       41.91   12.3    99.17   
Optimum :       1.273   0       0       0       48.63   0.293   99.3    
 
2-1     30      1.2801  0       0       0       39.062  0.2929  99.15   1.0419  0.4     
2-2     18      1.8514  0       0       0       35.99   -22.54  99.12   1.0214  0.371   
2-3     1       7.1492  0       0       0       61.204  126.73  99.31   1.15    0.5     
2-4     7       3.881   0       0       0       32.545  -56.35  99.09   0.9894  0.3616  
2-5     13      2.7811  0       0       0       48.008  52.289  99.24   1.0866  0.4638  
2-6     28      1.373   0       0       0       39.636  9.6638  99.15   1.0513  0.3832  
2-7     17      2.4535  0       0       0       34.903  -35.7   99.11   1.0085  0.3832  
2-8     5       5.5126  0       0       0       32.498  -75.47  99.12   0.9691  0.4296  
2-9     2       7.1537  0       0       0       60.502  126.11  99.31   1.15    0.4925  
2-10    4       6.1072  0       0       0       32.265  -81.09  99.13   0.9636  0.4387  
2-11    20      1.6542  0       0       0       40.537  20.854  99.15   1.0635  0.318   
2-12    8       3.4162  0       0       0       33.377  -50.75  99.1    0.9943  0.3798  
2-13    19      1.6758  0       0       0       37.584  -18.92  99.15   1.0231  0.4177  
2-14    29      1.3448  0       0       0       39.039  -7.242  99.17   1.0338  0.4236  
2-15    10      2.9827  0       0       0       44.433  53.825  99.17   1.0939  0.33    
2-16    9       3.0463  0       0       0       44.55   55.065  99.17   1.0949  0.3347  
2-17    24      1.5487  0       0       0       40.125  17.103  99.15   1.059   0.3633  
2-18    21      1.6087  0       0       0       36.436  -15.35  99.12   1.0291  0.338   
2-19    6       4.2046  0       0       0       47.189  75.861  99.18   1.1139  0.3383  
2-20    22      1.6154  0       0       0       44.983  22.407  99.24   1.0586  0.4761  
2-21    15      2.6296  0       0       0       43.462  46.388  99.16   1.0865  0.3512  
2-22    14      2.6895  0       0       0       43.748  47.776  99.17   1.0872  0.3658  
2-23    11      2.7903  0       0       0       43.871  49.821  99.16   1.0899  0.3413  
2-24    12      2.7666  0       0       0       43.923  49.401  99.17   1.0899  0.326   
2-25    25      1.4663  0       0       0       37.044  -10.34  99.12   1.0334  0.3545  
2-26    3       7.5369  0       0       0       32.271  -93.99  99.15   0.9503  0.4677  
2-27    26      1.4318  0       0       0       39.435  12.049  99.14   1.0548  0.3358  
2-28    27      1.4167  0       0       0       37.877  -9.23   99.14   1.0332  0.3945  
2-29    23      1.5642  0       0       0       40.805  18.184  99.16   1.0589  0.3923  
2-30    16      2.5421  0       0       0       43.932  44.922  99.18   1.0838  0.3909  
---------------------------------------------------------------------
Average :       2.982   0       0       0       41.04   11.73   99.16   
Optimum :       1.28    0       0       0       48.01   0.293   99.31   
 
3-1     30      1.2801  0       0       0       39.062  0.2929  99.15   1.0419  0.4     
3-2     2       3.881   0       0       0       32.545  -56.35  99.09   0.9894  0.3616  
3-3     26      1.345   0       0       0       38.942  7.07    99.14   1.0498  0.357   
3-4     19      1.4779  0       0       0       39.79   14.253  99.14   1.0564  0.362   
3-5     15      1.7191  0       0       0       40.955  23.11   99.15   1.0643  0.3736  
3-6     8       2.3567  0       0       0       34.596  -33.37  99.1    1.012   0.3332  
3-7     28      1.2941  0       0       0       38.727  -1.534  99.15   1.0403  0.3957  
3-8     25      1.3739  0       0       0       38.188  -7.404  99.15   1.0347  0.3988  
3-9     23      1.4452  0       0       0       37.206  -9.563  99.12   1.034   0.3621  
3-10    12      1.8369  0       0       0       42.129  27.225  99.17   1.067   0.4013  
3-11    11      1.8863  0       0       0       36.175  -23.71  99.13   1.0198  0.3863  
3-12    13      1.7885  0       0       0       36.541  -21.31  99.13   1.0219  0.3913  
3-13    20      1.462   0       0       0       39.727  13.582  99.14   1.0557  0.363   
3-14    27      1.3466  0       0       0       38.256  -5.724  99.14   1.0364  0.3948  
3-15    22      1.4401  0       0       0       39.496  12.459  99.14   1.0553  0.3316  
3-16    7       2.5895  0       0       0       38.941  -42.16  99.22   0.9976  0.5     
3-17    10      1.9698  0       0       0       35.542  -25.29  99.11   1.0191  0.3589  
3-18    3       3.8098  0       0       0       52.672  73.827  99.28   1.1042  0.4919  
3-19    1       8.9838  0       0       0       28.624  -98.48  99.04   0.9494  0.33    
3-20    4       3.5555  0       0       0       49.78   67.615  99.25   1.1007  0.4599  
3-21    18      1.5259  0       0       0       46.154  20.085  99.26   1.0553  0.5     
3-22    24      1.4348  0       0       0       39.531  12.281  99.14   1.0547  0.3583  
3-23    17      1.5095  0       0       0       40.553  16.109  99.16   1.057   0.3916  
3-24    29      1.2793  0       0       0       39.309  2.3573  99.15   1.0438  0.4007  
