Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    R       

1-1     13      24.789  -13.45  0.52    0       670.76  -616.7  37.51   470     
1-2     5       25.187  -14.03  0.4     -0.11   564.11  -625.1  43.08   351.04  
1-3     30      27.711  -11.6   0.54    -0.04   1064.4  -584.2  28.63   936.11  
1-4     29      27.71   -11.6   0.54    -0.04   1064.2  -584.2  28.63   935.96  
1-5     21      25.982  -12.3   0.57    -0.03   901.98  -597.9  30.9    738.43  
1-6     25      26.671  -11.99  0.55    -0.04   972.55  -592    29.75   823.38  
1-7     12      24.791  -13.5   0.5     -1.e-2  662.87  -617.3  37.85   461.09  
1-8     9       24.861  -13.71  0.47    0       622.88  -620.5  39.73   416.22  
1-9     16      24.936  -13.07  0.55    -1.e-2  743.8   -610.8  34.81   553.2   
1-10    11      24.805  -13.58  0.5     0       647.33  -618.6  38.55   443.62  
1-11    6       25.172  -14.02  0.4     -0.11   565.92  -625    42.97   353.04  
1-12    10      24.83   -13.65  0.49    0       634.01  -619.6  39.18   428.68  
1-13    28      27.577  -11.65  0.54    -0.04   1053.2  -585.2  28.75   922.21  
1-14    7       24.883  -13.75  0.46    0       616.14  -621    40.07   408.7   
1-15    1       26.707  -14.58  0.13    -0.78   459.91  -633.2  51.54   237.63  
1-16    27      27.428  -11.7   0.54    -0.04   1040.5  -586.2  28.88   906.58  
1-17    20      25.571  -12.53  0.57    -0.02   852.51  -602    31.9    679.75  
1-18    17      24.954  -13.05  0.55    -0.02   748.51  -610.4  34.66   558.62  
1-19    2       25.865  -14.35  0.27    -0.43   505.13  -629.7  47.39   286.51  
1-20    26      26.908  -11.89  0.55    -0.03   994.66  -590.1  29.44   850.3   
1-21    23      26.099  -12.24  0.57    -0.03   914.8   -596.8  30.67   753.76  
1-22    24      26.45   -12.08  0.56    -0.03   951.06  -593.8  30.07   797.36  
1-23    14      24.792  -13.41  0.52    -1.e-2  678.94  -616    37.17   479.25  
1-24    15      24.899  -13.12  0.55    -1.e-2  733.57  -611.7  35.15   541.46  
1-25    4       25.246  -14.07  0.38    -0.14   557.17  -625.7  43.54   343.4   
1-26    18      25.016  -12.97  0.56    -1.e-2  762.92  -609.3  34.21   575.23  
1-27    22      26.043  -12.27  0.56    -0.03   908.74  -597.3  30.78   746.51  
1-28    8       24.885  -13.75  0.47    0       615.83  -621.1  40.09   408.36  
1-29    3       25.431  -14.17  0.35    -0.23   538.51  -627.1  44.82   322.92  
1-30    19      25.461  -12.6   0.57    -0.02   837.7   -603.2  32.23   662.32  
---------------------------------------------------------------------
Average :       25.72   -13     0.491   -0.08   762.8   -609    36.1    
Optimum :       24.79   -11.6   0.57    0       459.9   -584    51.54   
 
2-1     15      25.111  -12.88  0.56    -0.02   782.16  -607.7  33.65   597.48  
2-2     13      24.933  -13.08  0.55    -0.02   742.99  -610.9  34.84   552.28  
2-3     30      27.711  -11.6   0.54    -0.04   1064.4  -584.2  28.63   936.11  
2-4     18      25.66   -12.48  0.56    -0.03   864.02  -601    31.65   693.35  
2-5     11      24.88   -13.16  0.54    -0.02   727.39  -612.2  35.36   534.38  
2-6     9       24.808  -13.32  0.53    -1.e-2  695.53  -614.7  36.51   498.06  
2-7     8       24.793  -13.4   0.52    -1.e-2  681.25  -615.9  37.08   481.86  
2-8     27      27.233  -11.77  0.55    -0.04   1023.7  -587.7  29.08   885.81  
2-9     10      24.848  -13.22  0.54    -0.02   715.93  -613.1  35.76   521.29  
2-10    19      25.844  -12.37  0.57    -0.02   886.24  -599.2  31.2    719.69  
2-11    22      26.321  -12.14  0.56    -0.03   938.02  -594.9  30.28   781.63  
2-12    26      27.05   -11.84  0.55    -0.04   1007.5  -589    29.28   866.02  
2-13    16      25.163  -12.83  0.56    -0.02   791.62  -606.9  33.39   608.47  
2-14    6       24.832  -13.66  0.48    0       633.28  -619.7  39.21   427.85  
2-15    5       24.873  -13.73  0.47    0       619.04  -620.8  39.92   411.94  
2-16    20      25.968  -12.31  0.56    -0.03   900.32  -598    30.93   736.46  
2-17    29      27.577  -11.65  0.54    -0.04   1053.2  -585.2  28.75   922.21  
2-18    23      26.45   -12.08  0.56    -0.03   951.06  -593.8  30.07   797.36  
2-19    25      26.812  -11.93  0.55    -0.03   985.72  -590.9  29.56   839.4   
2-20    28      27.31   -11.74  0.55    -0.03   1030.4  -587.1  29      894.07  
2-21    1       26.164  -14.44  0.22    -0.55   487     -631.1  48.95   266.86  
2-22    24      26.45   -12.08  0.56    -0.03   951.06  -593.8  30.07   940     
2-23    7       24.792  -13.41  0.52    -1.e-2  678.94  -616    37.17   266.85  
2-24    12      24.899  -13.12  0.55    -1.e-2  733.57  -611.7  35.15   935.96  
2-25    3       25.246  -14.07  0.38    -0.14   557.17  -625.7  43.54   679.75  
2-26    14      25.016  -12.97  0.56    -1.e-2  762.92  -609.3  34.21   738.43  
2-27    21      26.043  -12.27  0.56    -0.03   908.74  -597.3  30.78   555.48  
2-28    4       24.885  -13.75  0.47    0       615.83  -621.1  40.09   544.6   
2-29    2       25.431  -14.17  0.35    -0.23   538.51  -627.1  44.82   575.23  
2-30    17      25.461  -12.6   0.57    -0.02   837.7   -603.2  32.23   777.41  
---------------------------------------------------------------------
Average :       25.75   -12.8   0.519   -0.05   805.5   -606    34.37   
Optimum :       24.79   -11.6   0.57    0       487     -584    48.95   
 
