
Run     SWR     Gain    F/B     F/R     R-a     X-a     Eff.    R       

1-0     4.8614  6.89    0.07    0.07    36.392  -73.46  99.18   0.5     
1-1     3.9595  6.88    0.06    0.06    37.528  -63.21  99.19   0.505   
1-2     3.2022  6.88    0.07    0.07    38.698  -52.94  99.2    0.51    
1-3     2.5743  6.87    0.06    0.06    39.905  -42.65  99.21   0.515   
1-4     2.0609  6.87    0.07    0.07    41.149  -32.33  99.22   0.52    
1-5     1.648   6.87    0.08    0.08    42.432  -21.98  99.23   0.525   
1-6     1.3221  6.86    0.08    0.08    43.797  -11.55  99.24   0.53    
1-7     1.1098  6.85    0.08    0.08    45.174  -1.123  99.24   0.535   
1-8     1.2285  6.85    0.08    0.08    46.596  9.3521  99.25   0.54    
1-9     1.4987  6.84    0.08    0.08    48.064  19.876  99.26   0.545   
1-10    1.8268  6.84    0.09    0.09    49.581  30.455  99.27   0.55    
1-11    2.2078  6.84    0.1     0.1     51.148  41.092  99.28   0.555   
1-12    2.641   6.83    0.09    0.09    52.767  51.793  99.28   0.56    
1-13    3.1251  6.83    0.1     0.1     54.441  62.561  99.29   0.565   
1-14    3.6585  6.82    0.1     0.1     56.173  73.402  99.3    0.57    
1-15    4.2391  6.82    0.11    0.11    57.964  84.319  99.31   0.575   
1-16    4.8645  6.82    0.12    0.12    59.817  95.319  99.31   0.58    
1-17    5.5369  6.81    0.12    0.12    61.936  106.63  99.32   0.585   
1-18    6.244   6.8     0.12    0.12    63.943  117.84  99.33   0.59    
1-19    6.9873  6.8     0.13    0.13    66.024  129.15  99.33   0.595   
1-20    7.7642  6.79    0.12    0.12    68.18   140.57  99.34   0.6     
